original_name,sanitized_folder
"1178493925/qwen3-vl:235b-cloud","1178493925_qwen3-vl_235b-cloud"
"alarksahu388/wormgpt480b:latest","alarksahu388_wormgpt480b_latest"
"alibayram/smollm3:latest","alibayram_smollm3_latest"
"aqrar1/AqrarAI-Qwen3-VL:latest","aqrar1_AqrarAI-Qwen3-VL_latest"
"aqrar1/AqrarAI-V1:latest","aqrar1_AqrarAI-V1_latest"
"authoogle/dev:latest","authoogle_dev_latest"
"ayushtiwari8888/glm-5:cloud","ayushtiwari8888_glm-5_cloud"
"basemdabbour/OllModraMo:latest","basemdabbour_OllModraMo_latest"
"basemdabbour/OllModraMoV2:latest","basemdabbour_OllModraMoV2_latest"
"benchelbiaiguide/deepseek:latest","benchelbiaiguide_deepseek_latest"
"bjoernb/claude-haiku-4-5:latest","bjoernb_claude-haiku-4-5_latest"
"bjoernb/claude-opus-4-5:latest","bjoernb_claude-opus-4-5_latest"
"bjoernb/claude-sonet-4-5:latest","bjoernb_claude-sonet-4-5_latest"
"blackgrg26/WORMGPT-10:latest","blackgrg26_WORMGPT-10_latest"
"blackgrg26/WORMGPT-11:latest","blackgrg26_WORMGPT-11_latest"
"blackgrg26/WORMGPT-12:latest","blackgrg26_WORMGPT-12_latest"
"blackgrg26/WORMGPT-13:latest","blackgrg26_WORMGPT-13_latest"
"blackgrg26/WORMGPT-14:latest","blackgrg26_WORMGPT-14_latest"
"blackgrg26/WORMGPT-6:latest","blackgrg26_WORMGPT-6_latest"
"blackgrg26/WORMGPT-7:latest","blackgrg26_WORMGPT-7_latest"
"blackgrg26/WORMGPT-8:latest","blackgrg26_WORMGPT-8_latest"
"blackgrg26/WORMGPT-9:latest","blackgrg26_WORMGPT-9_latest"
"bobowg/gemini-3-flash:latest","bobowg_gemini-3-flash_latest"
"bobowg/mistral-large-3:latest","bobowg_mistral-large-3_latest"
"busy_dewdney_138/qwenCodeLocal:latest","busy_dewdney_138_qwenCodeLocal_latest"
"cogito-2.1:671b-cloud","cogito-2.1_671b-cloud"
"dandank/chatgpt:latest","dandank_chatgpt_latest"
"dandank/deepseek:latest","dandank_deepseek_latest"
"darkzus/mayaccai_:latest","darkzus_mayaccai__latest"
"deepseek-v3.1:671b-cloud","deepseek-v3.1_671b-cloud"
"deepseek-v3.2:cloud","deepseek-v3.2_cloud"
"deepseek-v4-flash:cloud","deepseek-v4-flash_cloud"
"deepseek-v4-pro:cloud","deepseek-v4-pro_cloud"
"devstral-2:123b-cloud","devstral-2_123b-cloud"
"devstral-small-2:24b-cloud","devstral-small-2_24b-cloud"
"eager_perlman_271/gpt-oss:120b-cloud","eager_perlman_271_gpt-oss_120b-cloud"
"ehuaricapcha86/gpt-oss:20b-cloud","ehuaricapcha86_gpt-oss_20b-cloud"
"emirbaki068/deneme:latest","emirbaki068_deneme_latest"
"gemini-3-flash-preview:cloud","gemini-3-flash-preview_cloud"
"gemini-3-flash-preview:latest","gemini-3-flash-preview_latest"
"gemma3:12b-cloud","gemma3_12b-cloud"
"gemma3:27b-cloud","gemma3_27b-cloud"
"gemma3:4b-cloud","gemma3_4b-cloud"
"gemma4:31b-cloud","gemma4_31b-cloud"
"gemma4:cloud","gemma4_cloud"
"glm-4.6:cloud","glm-4.6_cloud"
"glm-4.7:cloud","glm-4.7_cloud"
"glm-5.1:cloud","glm-5.1_cloud"
"glm-5.2:cloud","glm-5.2_cloud"
"glm-5:cloud","glm-5_cloud"
"gpt-oss:120b-cloud","gpt-oss_120b-cloud"
"gpt-oss:20b-cloud","gpt-oss_20b-cloud"
"icefoxyyt1/fanta0.1:latest","icefoxyyt1_fanta0.1_latest"
"jbcderby27/kimi:latest","jbcderby27_kimi_latest"
"jmorgan/turbo:latest","jmorgan_turbo_latest"
"kengetrw/agentic:latest","kengetrw_agentic_latest"
"kengetrw/orc:latest","kengetrw_orc_latest"
"kengetrw/plan:latest","kengetrw_plan_latest"
"kengetrw/router:latest","kengetrw_router_latest"
"kimi-k2:1t-cloud","kimi-k2_1t-cloud"
"kimi-k2.5:cloud","kimi-k2.5_cloud"
"kimi-k2.6:cloud","kimi-k2.6_cloud"
"kimi-k2.7-code:cloud","kimi-k2.7-code_cloud"
"kimi-k2-thinking:cloud","kimi-k2-thinking_cloud"
"mamber/aetherportv3:675B","mamber_aetherportv3_675B"
"minimax-m2.1:cloud","minimax-m2.1_cloud"
"minimax-m2.5:cloud","minimax-m2.5_cloud"
"minimax-m2.7:cloud","minimax-m2.7_cloud"
"minimax-m2:cloud","minimax-m2_cloud"
"minimax-m3:cloud","minimax-m3_cloud"
"ministral-3:14b-cloud","ministral-3_14b-cloud"
"ministral-3:3b-cloud","ministral-3_3b-cloud"
"ministral-3:8b-cloud","ministral-3_8b-cloud"
"mistral-large-3:675b-cloud","mistral-large-3_675b-cloud"
"muhammadaqrar090/AqrarAI-GLM:latest","muhammadaqrar090_AqrarAI-GLM_latest"
"nemotron-3-nano:30b-cloud","nemotron-3-nano_30b-cloud"
"nemotron-3-super:cloud","nemotron-3-super_cloud"
"openvoid/Void-Gemini:latest","openvoid_Void-Gemini_latest"
"pdevine/deepseek-v3.1:671b-cloud","pdevine_deepseek-v3.1_671b-cloud"
"pdevine/gpt-oss:120b-cloud","pdevine_gpt-oss_120b-cloud"
"pdevine/gpt-oss:20b-cloud","pdevine_gpt-oss_20b-cloud"
"pdevine/qwen3-coder:480b-cloud","pdevine_qwen3-coder_480b-cloud"
"qwen3.5:397b-cloud","qwen3.5_397b-cloud"
"qwen3.5:cloud","qwen3.5_cloud"
"qwen3-coder:480b-cloud","qwen3-coder_480b-cloud"
"qwen3-coder-next:cloud","qwen3-coder-next_cloud"
"qwen3-next:80b-cloud","qwen3-next_80b-cloud"
"qwen3-vl:235b-cloud","qwen3-vl_235b-cloud"
"qwen3-vl:235b-instruct-cloud","qwen3-vl_235b-instruct-cloud"
"reaperdoesntrun/Kimi_Thinks:latest","reaperdoesntrun_Kimi_Thinks_latest"
"rnj-1:8b-cloud","rnj-1_8b-cloud"
"rubenftenorio/kimi-k25-local:latest","rubenftenorio_kimi-k25-local_latest"
"seger76/dev:latest","seger76_dev_latest"
"siddhjain68/GLM_4.7:latest","siddhjain68_GLM_4.7_latest"
"tzarni79/qwen3.5:cloud","tzarni79_qwen3.5_cloud"
"u1o8/glm-5-agent:latest","u1o8_glm-5-agent_latest"
"YuriiFominYoung/fable-5:latest","YuriiFominYoung_fable-5_latest"
